name;mix_name;isrc;artists;composer;remixers
Radiance;Original Mix;UACT10700004;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Rocker;Original Mix;UACT10700094;Marcello Mineo;MINEO MARCELLO;
Sunday 7;Original Mix;UACT10700127;Toras;ZOBNIN TARAS ANATOLEVYCH;
Infected;Original Mix;UACT10700077;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Gum City Lovers;Original Mix;UACT10700072;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Gum City Lovers;Vanya Shiz Remix;UACT10800057;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;Vanya Shiz
Second life;Original Mix;UACT10800058;Vanya Shiz;KUYDA IVAN VLADIMIROVYCH;
Agressor;Original Mix;UACT10800079;Aquabeat feat. Positive Project;ZHIRNOV MAKSIM ALEKSANDROVYCH | DOSCHINSKIY MAKSIM VIKTOROVYCH;
Ezeepeezee;Original Mix;UACT10700113;Dan Brain;MOZGOVOY DENIS;
Jump;Original Mix;UACT10800052;Kotov & Andre Wilde;ROMANKO ANATOLIY;
Jump;Nathan Barato Anti Vox Remix;UACT10800088;Kotov & Andre Wilde;ROMANKO ANATOLIY;Nathan Barato
Jump;Aquabeat Remix;UACT10800089;Kotov & Andre Wilde;ROMANKO ANATOLIY;Aquabeat
Jump;Rework;UACT10800096;Kotov & Andre Wilde;ROMANKO ANATOLIY;
Miami 3800;Original Mix;UACT10800076;Ikiro;KRASNOSHTAN SERGEY ANATOLIEVYCH;
Waiting For The End;Original Mix;UACT10700125;M.I.D.I.;LAFORGE VITO;
System One;Original Mix;UACT10700078;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Illusion;Original Mix;UACT10800085;Vanya Shiz;KUYDA IVAN VLADIMIROVYCH | KOCHKUROV VITALII SERGEEVYCH;
Minima;Original Mix;UACT10800075;Slava Yaroslavskiy;YAROSLAVSKIY VYACHESLAV ALEKSANDROVYCH;
Sketch Of Groove;Original Mix;UACT10800072;Sketch Of Groove;DROZDOV ROMAN VLADIMIROVYCH;
Toxic;Original Mix;UACT10700136;DJ Small;MINEO MARCELLO;
More;Original Mix;UACT10800092;Tka4;TKACH VASYL VIKTOROVYCH;
Doma;Original Mix;UACT10700129;Dunaewsky 69;GLADUN ALEKSANDR IVANOVYCH;
Clowns;Original Mix;UACT10800091;Actifish;GORNICHEV YURIY YUREVYCH;
Algat;Original Mix;UACT10800095;Lamineylf;GLADUN ALEKSANDR IVANOVYCH;
In Minimal;Original Mix;UACT10800086;Tape Masters;MOSKOLENKO IVAN;
The Dust;Drumma Dub Promo Edit;UACT10700135;DJ Small feat. Rhythm Fest;GYLYAK VALENTIN OLEXANDRIVYCH;
The Dust;Sergio Mega Remix;UACT10800063;DJ Small feat. Rhythm Fest;GULYAK VALENTYN OLEKSANDROVYCH;Sergio Mega
The Fest;Original Mix;UACT10700076;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
The Fest;Andrea Martini Remix;UACT10800097;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;Andrea Martini
The Fest;Aquabeat Remix;UACT10800082;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;Aquabeat
Chernobyl;Original Mix;UACT10800081;Aquabeat;ZHIRNOV MAKSIM ALEKSANDROVYCH | DOSCHINSKIY MAKSIM VIKTOROVYCH;
Chernobyl;Vincent Rio & Vladimir Great Remix;UACT10800100;Aquabeat;ZHIRNOV MAKSIM ALEKSANDROVYCH | DOSCHINSKIY MAKSIM VIKTOROVYCH;Vincent Rio |  Vladimir Great
Chernobyl;Andi Vax No Future Radio Remix;UACT10800102;Aquabeat;ZHIRNOV MAKSIM ALEKSANDROVYCH | DOSCHINSKIY MAKSIM VIKTOROVYCH;Andi Vax
Chernobyl;Andi Vax No Future Remix;UACT10800101;Aquabeat;ZHIRNOV MAKSIM ALEKSANDROVYCH | DOSCHINSKIY MAKSIM VIKTOROVYCH;Andi Vax
Chernobyl;Kotov And Andre Wilde Remix;UACT10800104;Aquabeat;ZHIRNOV MAKSIM ALEKSANDROVYCH | DOSCHINSKIY MAKSIM VIKTOROVYCH;Kotov |   Andre Wilde
Chernobyl;Tomas Kaine Remix;UACT10800103;Aquabeat;ZHIRNOV MAKSIM ALEKSANDROVYCH | DOSCHINSKIY MAKSIM VIKTOROVYCH;Tomas Kaine
Mute Symphony;Original Mix;UACT10800198;D-geetals;CHIPOLINI JUAN JESE;
Meat On The Dancefloor;Original Mix;UACT10800205;Ekspert;MAKEEV NIKOLAY SERGEEVYCH;
Funk, Flight, Magic;Dub Mix;UACT10800206;Sergio Mega feat. MC Yug;LAZAREV SERGIY GEORGIEVYCH;
Not You;Extended Club Mix;UACT10800170;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Not You;Michael Ruby Remix;UACT10800171;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;Michael Ruby
Not You;Ekspert Remix;UACT10800169;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;Ekspert
Not You;Aquabeat Remix;UACT10800168;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;Aquabeat
Not You;Actifish Remix;UACT10800167;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;Actifish
